entry_code,entry_type_code,entry_type_name,entry_type_name_zh,entry_name_zh,entry_name_en,n_records,n_people,first_year,last_year,n_valid_year_records,semantic_category,government_entry_confidence,include_target_v2_candidate,include_target_v2b_candidate,reason,manual_review_needed
-1,,,,[Missing Data],[Missing Data],0,0,,,0,unknown,NONE,False,False,"Official type/description is unknown, temporary, deprecated, or unmapped.",True
0,00,Unknown Method of Entry,未知入仕途徑,未知,not available or applicable,10,10,1112.0,1840.0,7,unknown,NONE,False,False,"Official type/description is unknown, temporary, deprecated, or unmapped.",True
1,01,Palace,宮廷門,前帝遜位,abdication of previous emperor,9,9,335.0,1449.0,9,ambiguous,LOW,False,False,Official type is semantically heterogeneous or not sufficient to infer government entry.,True
4,99,Temp,Temp,臨時保留，待考。,To be Deleted: betrothal,4,4,1223.0,1814.0,2,unknown,NONE,False,False,"Official type/description is unknown, temporary, deprecated, or unmapped.",True
5,90,Other Method of Entry,其他入仕途徑,胥吏出職,promotion from clerical positions,84,84,946.0,1341.0,58,direct_appointment,HIGH,True,True,"Description within the Other branch explicitly indicates office, appointment, or promotion.",False
7,12,Purchase,進納門,進納補官(捐授),purchase,48,48,1162.0,1799.0,6,purchase_or_donation,HIGH,True,True,Official taxonomy and description identify purchase/donation as the route.,False
8,06,Yin Privilege,恩蔭門,恩蔭: 大禮蔭補,yin privilege: Grand Sacrifice,59,59,973.0,1316.0,24,hereditary_or_yin_privilege,HIGH,True,True,Official taxonomy identifies kinship/yin privilege; strict inclusion requires explicit office/rank succession rather than clan or student status alone.,False
12,01,Palace,宮廷門,廢前帝自立,deposed previous emperor,2,2,558.0,1122.0,2,ambiguous,LOW,False,False,Official type is semantically heterogeneous or not sufficient to infer government entry.,True
13,10,Specialized Talents,技進門,畫院待詔,direct appointment to painting academy,8,8,,,0,direct_appointment,HIGH,True,True,Specialized/grace/surrender route has description-level evidence of an office or appointment.,False
14,07,Recruitment,徵召門,徵辟,imperial summons,866,865,-140.0,1794.0,197,direct_appointment,HIGH,True,True,Official taxonomy identifies summons/recruitment; the description records direct recruitment or appointment.,False
15,07,Recruitment,徵召門,募入軍伍,direct recruitment into military service,294,294,875.0,1874.0,17,direct_appointment,HIGH,True,True,Official taxonomy identifies summons/recruitment; the description records direct recruitment or appointment.,False
16,99,Temp,Temp,待刪除(内容多種，未知所屬，故臨時保留)。,To be Deleted: edict of grace,0,0,,,0,unknown,NONE,False,False,"Official type/description is unknown, temporary, deprecated, or unmapped.",True
20,01,Palace,宮廷門,開國君主,emperor or king (dynastic founder),23,23,-206.0,1368.0,22,ambiguous,LOW,False,False,"Palace, honorific, dynastic, or religious status does not by itself establish bureaucratic entry.",True
21,90,Other Method of Entry,其他入仕途徑,封土建藩(始封),enfeoffment,51,51,122.0,1403.0,10,ambiguous,LOW,False,False,The broad Other branch and description do not establish a uniform government-entry event.,True
22,0503,Tribute Students,貢生門,貢生: 恩貢,tribute student: by grace,2011,2010,11.0,1909.0,78,school_or_student_status,LOW,False,False,"Official taxonomy identifies a school, student, licentiate, academy, or tribute-student status; this is not automatically an appointment.",True
24,01,Palace,宮廷門,冊封爲妃嬪,investiture as imperial concubine,12,12,650.0,1492.0,8,ambiguous,LOW,False,False,"Palace, honorific, dynastic, or religious status does not by itself establish bureaucratic entry.",True
