figure_id,paper_section,caption,source_tables,source_sha256,generation_script,png_path,pdf_path,svg_path,snapshot_path,verification_status
final_task_definition_ep_t,Data and Measurement Problem,"Measurement and construct boundary. Panel a distinguishes latent true historical entry T; credential, education, recommendation, privilege, and other entry-related events that are not T; posting or office-holding events related to but not equivalent to T; other biographical processes; source survival; extraction and encoding; and the observed E and P relations. E, P, and T are distinct constructs and are not interchangeable. Panel b preserves the frozen E by P contingency counts.",outputs/tables/entry_vs_posting_contingency.csv,d1a15da61c96445955fbe3bd94184331905bb5c946814d04fc69c35c4735e1a5,scripts/69_phase3_1_1_figures.py,outputs/phase3_1_1/figures/final_task_definition_ep_t.png,outputs/phase3_1_1/figures/final_task_definition_ep_t.pdf,outputs/phase3_1_1/figures/final_task_definition_ep_t.svg,outputs/phase3_1_1/figure_data/final_task_definition_ep_t.csv,VERIFIED_FROM_FROZEN_INPUT; alignment=PASS
fig2_dynasty_gender,Descriptive Evidence,"CBDB-covered people and recorded ENTRY share. Panel a reports coverage and E prevalence for Tang, Song, Yuan, Ming, and Qing. Panel b reports E prevalence by recorded gender; neither panel estimates historical population entry rates.",outputs/tables/target_by_dynasty.csv;outputs/phase2_6/tables/final_gender_entry_rates.csv,005a262a40cee142d0b7bb0803866ea3e0cd597b273d1e0b70c30949c3cdc594;d48b960b7c8af22f9f6da78ef58e66a38005d9cf3f26d12b7ca904089b25836c,scripts/69_phase3_1_1_figures.py,outputs/phase3_1_1/figures/fig2_dynasty_gender.png,outputs/phase3_1_1/figures/fig2_dynasty_gender.pdf,outputs/phase3_1_1/figures/fig2_dynasty_gender.svg,outputs/phase3_1_1/figure_data/fig2_dynasty_gender.csv,VERIFIED_FROM_FROZEN_INPUT; alignment=PASS
fig3_entry_pathways,Descriptive Evidence,"Recorded ENTRY pathway composition. Record shares and nonexclusive person prevalence describe heterogeneous observed entry-related records, not latent true historical entry T.",outputs/phase2_6/tables/entry_category_by_dynasty_records.csv;outputs/phase2_6/tables/entry_category_by_dynasty_people.csv,767fc1b037afa50398fb1e7af943264c6bd75c7f2b119757553354d966e2469d;02bfd7eccdb11b7ca2eeb9c034a5ad13c18c4506aa51c75e09b8fd037821cf34,scripts/69_phase3_1_1_figures.py,outputs/phase3_1_1/figures/fig3_entry_pathways.png,outputs/phase3_1_1/figures/fig3_entry_pathways.pdf,outputs/phase3_1_1/figures/fig3_entry_pathways.svg,outputs/phase3_1_1/figure_data/fig3_entry_pathways.csv,VERIFIED_FROM_FROZEN_INPUT; alignment=PASS
fig4_locked_models,Primary Predictive Results,"Frozen primary-test discrimination in Global, Song, and Ming. D5_MAIN is the designated main within-database predictor; D6_UPPER is a database-internal record-structure upper bound.",outputs/phase3/tables/main_model_performance.csv,50ba9673d6ed531d193f90490e4acde7c34432ab73bc462cc2c6f27647fdab99,scripts/69_phase3_1_1_figures.py,outputs/phase3_1_1/figures/fig4_locked_models.png,outputs/phase3_1_1/figures/fig4_locked_models.pdf,outputs/phase3_1_1/figures/fig4_locked_models.svg,outputs/phase3_1_1/figure_data/fig4_locked_models.csv,VERIFIED_FROM_FROZEN_INPUT; alignment=PASS
fig5_grouped_ablation,Feature-Block Evidence,"Conditional Global primary-split increments in the prespecified nested feature order. They are order-dependent predictive increments, not unique or causal contributions; Physical geography has no interval because exact paired predictions were not retained.",outputs/phase3_1/tables/grouped_ablation_corrected.csv,b43d395b6eae76272c428f44a8b98f38f59235a79c5fff30db300acac605e4ae,scripts/69_phase3_1_1_figures.py,outputs/phase3_1_1/figures/fig5_grouped_ablation.png,outputs/phase3_1_1/figures/fig5_grouped_ablation.pdf,outputs/phase3_1_1/figures/fig5_grouped_ablation.svg,outputs/phase3_1_1/figure_data/fig5_grouped_ablation.csv,VERIFIED_FROM_FROZEN_INPUT; alignment=PASS
fig6_spatial_transport,Distribution Shift,Address decomposition and matched-support spatial transport. Negative unseen-region minus matched-random ROC-AUC means weaker discrimination on unseen historical regions.,outputs/phase2_6/tables/address_semantics_deltas.csv;outputs/phase2_6/tables/matched_random_vs_spatial_results.csv,c260de9b78ac416ebe498584e7095c34fe3340fa7bdae95267c9b7fa250f6eb9;c05ab8e0156381c1cb021fe6147900df60303aa19b6fe2f93351a9218dd7dd24,scripts/69_phase3_1_1_figures.py,outputs/phase3_1_1/figures/fig6_spatial_transport.png,outputs/phase3_1_1/figures/fig6_spatial_transport.pdf,outputs/phase3_1_1/figures/fig6_spatial_transport.svg,outputs/phase3_1_1/figure_data/fig6_spatial_transport.csv,VERIFIED_FROM_FROZEN_INPUT; alignment=PASS
fig7_family_decomposition,Family Decomposition,"Family-feature decomposition in Global, Song, and Ming order. Family-capital increments are conditional on observability and topology; Ming ROC-AUC and PR-AUC intervals include zero.",outputs/phase2_5/tables/family_decomposition_deltas.csv,9c58372c1e68e0164b492cad5aca4ea7fbfe27042dc1a0e86a41bec4ca941c24,scripts/69_phase3_1_1_figures.py,outputs/phase3_1_1/figures/fig7_family_decomposition.png,outputs/phase3_1_1/figures/fig7_family_decomposition.pdf,outputs/phase3_1_1/figures/fig7_family_decomposition.svg,outputs/phase3_1_1/figure_data/fig7_family_decomposition.csv,VERIFIED_FROM_FROZEN_INPUT; alignment=PASS
fig8_grouped_shap,Model Interpretation,"Grouped mean absolute SHAP shares for Global, Song, and Ming. Physical geography denotes latitude, longitude, and distance to the dynasty-specific capital. Shares are model attribution, not independent gains or causal effects.",outputs/phase2_6/shap/shap_group_summary.csv,5c1bb9584fd62d129b53261f878ea1f0319d638b1d7a38ff7ac284e525a912a1,scripts/69_phase3_1_1_figures.py,outputs/phase3_1_1/figures/fig8_grouped_shap.png,outputs/phase3_1_1/figures/fig8_grouped_shap.pdf,outputs/phase3_1_1/figures/fig8_grouped_shap.svg,outputs/phase3_1_1/figure_data/fig8_grouped_shap.csv,VERIFIED_FROM_FROZEN_INPUT; alignment=PASS
figA1_calibration,Appendix: Calibration,Raw and validation-calibrated expected calibration error. Sigmoid calibrators were fitted on validation predictions only; lower ECE is better.,outputs/phase2_6/tables/final_model_calibration.csv,a11c68e82099685c2feba8fe5ccdd8e0677043c276615031efce9c68bd16705b,scripts/69_phase3_1_1_figures.py,outputs/phase3_1_1/figures/figA1_calibration.png,outputs/phase3_1_1/figures/figA1_calibration.pdf,outputs/phase3_1_1/figures/figA1_calibration.svg,outputs/phase3_1_1/figure_data/figA1_calibration.csv,VERIFIED_FROM_FROZEN_INPUT; alignment=PASS
figA2_multiseed,Appendix: Stability,"Five-seed stability of selected incremental ROC-AUC contrasts in Global, Song, and Ming order.",outputs/phase2_6/tables/multiseed_delta_summary.csv,7b2f819d280680bdc75cca9ff285c396bb3ff3142a715efeb04d2af717c77787,scripts/69_phase3_1_1_figures.py,outputs/phase3_1_1/figures/figA2_multiseed.png,outputs/phase3_1_1/figures/figA2_multiseed.pdf,outputs/phase3_1_1/figures/figA2_multiseed.svg,outputs/phase3_1_1/figure_data/figA2_multiseed.csv,VERIFIED_FROM_FROZEN_INPUT; alignment=PASS
figA3_robustness_scope,Appendix: Robustness Scope,"Scope of unavailable robustness performance. SAFE is split-only, and source grouping was infeasible under the prespecified full-coverage connected-component protocol.",outputs/phase3/tables/safe_temporal_split_context.csv;outputs/phase3/tables/source_holdout_status.json,53103567db3d3c6fa120ab72a5c02415e6f268ab4990593a02a76615a30fc68c;baa66ee7d39b749cde5ccc3c99796c53a49154ed7639e803e02780c3ed27d161,scripts/69_phase3_1_1_figures.py,outputs/phase3_1_1/figures/figA3_robustness_scope.png,outputs/phase3_1_1/figures/figA3_robustness_scope.pdf,outputs/phase3_1_1/figures/figA3_robustness_scope.svg,outputs/phase3_1_1/figure_data/figA3_robustness_scope.csv,VERIFIED_FROM_FROZEN_INPUT; alignment=PASS
