table,feature_group,leakage_level,reason,allowed_full_model,allowed_pre_entry_model
ENTRY_DATA,table presence / entry_code / entry counts,0,Defines Target V1 and directly encodes entry mode.,False,False
ENTRY_CODES / ENTRY_TYPES / View_EntryData,entry labels and enriched entry rows,0,Code labels are a decoded form of the direct target source.,False,False
person_base_v0,n_entry_records,0,Count of records used to define the target.,False,False
POSTING_DATA,has_posting_record / n_posting_records,1,A person's appointments normally reveal realized office holding.,True,False
POSTED_TO_OFFICE_DATA,"office IDs, dates, counts, ranks",1,Explicit realized office postings are strong post-entry outcome leakage.,True,False
POSTED_TO_ADDR_DATA,posting locations and counts,1,Locations are attached to realized postings.,True,False
OFFICE_CODES / OFFICE_CATEGORIES,"office name, hierarchy, category",1,Decodes the person's realized office outcome.,True,False
View_PostingOfficeData / View_PostingAddrData,enriched posting and office features,1,Denormalized views expose realized office and posting outcomes.,True,False
STATUS_DATA + STATUS_CODES,explicit official/office/jinshi/government statuses,1,Several observed status labels directly identify office holding or examination outcomes.,True,False
ASSOC_DATA,"association presence, degree, type, dates",2,Relationships may have formed after entry and are not uniformly dated.,True,False
BIOG_INST_DATA,institution roles and counts,2,Institutional affiliations may postdate entry or reflect official responsibility.,True,False
BIOG_TEXT_DATA / BIOG_SOURCE_DATA,"texts, roles, source/record counts",2,Later-life production and documentation intensity can follow official success.,True,False
STATUS_DATA,non-explicit later-life status categories,2,Status observations can occur after entry; temporal anchoring is required.,True,False
BIOG_ADDR_DATA,residence/migration/burial/death addresses,2,Some address types occur after entry; use only pre-entry-safe types and dates.,True,False
BIOG_MAIN,gender / birth year / index year / dynasty,3,"Basic person attributes are available as background, subject to missingness and recording bias.",True,True
BIOG_MAIN + BIOG_ADDR_DATA,index/basic/natal/ancestral geographic background,3,Background geography is usable when address semantics and timing precede entry.,True,True
KIN_DATA + KINSHIP_CODES,kin structure and kin type,3,"Family structure is background-like, but relatives' later outcomes require temporal controls.",True,True
relatives' ENTRY/POSTING data,parent/grandparent political capital,3,Usable only if the relative outcome predates the focal person's entry/risk time.,True,conditional
